Name,Vmag,Sp. Type,EPIC ID,RA (J2000) [deg],Dec (J2000) [deg],Investigation IDs,LC TPF – 11.1,LC TPF – 11.2,SC TPF – 11.1,SC TPF – 11.2,LC 11.1 Halo Lightcurve,LC 11.1 Lightcurve Image,LC 11.1 Weight Image,LC 11.1 Flux Image,LC 11.2 Halo Lightcurve,LC 11.2 Lightcurve Image,LC 11.2 Weight Image,LC 11.2 Flux Image,Stiched LC light curve,MASK,Comments
tet Oph,3.26,OB,200128906,260.502159,-24.999975,GO11047_LC,KTWO200128906-C111,KTWO200147344-C112,,,tet_Oph_C111halo_lc_o1.fits,tet_Oph_C111halo_lc_o1.png,tet_Oph_C111_weightmap_o1_sub1.png,tet_Oph_C111_fluxmap_o1_sub1.png,tet_Oph_C112halo_lc_o1.fits,tet_Oph_C112halo_lc_o1.png,tet_Oph_C112_weightmap_o1_sub1.png,tet_Oph_C112_fluxmap_o1_sub1.png,tet_Oph_C11_halo_o1_stitch.txt,Halo,
44 Oph,4.153,kA5hA9mF1III,200128907,261.592348,-24.17599,GO11047_LC,KTWO200128907-C111,KTWO200147345-C112,,,44_Oph_C111halo_lc_o1.fits,44_Oph_C111halo_lc_o1.png,44_Oph_C111_weightmap_o1_sub1.png,44_Oph_C111_fluxmap_o1_sub1.png,44_Oph_C112halo_lc_o1.fits,44_Oph_C112halo_lc_o1.png,44_Oph_C112_weightmap_o1_sub1.png,44_Oph_C112_fluxmap_o1_sub1.png,44_Oph_C11_halo_o1_stitch.txt,Halo,
45 Oph,4.269,F5III-IV,200128908,261.837707,-29.868083,GO11047_LC,KTWO200128908-C111,KTWO200147346-C112,,,45_Oph_C111halo_lc_o1.fits,45_Oph_C111halo_lc_o1.png,45_Oph_C111_weightmap_o1_sub1.png,45_Oph_C111_fluxmap_o1_sub1.png,45_Oph_C112halo_lc_o1.fits,45_Oph_C112halo_lc_o1.png,45_Oph_C112_weightmap_o1_sub1.png,45_Oph_C112_fluxmap_o1_sub1.png,45_Oph_C11_halo_o1_stitch.txt,Halo,
51 Oph,4.81,A0V,200128909,262.85357,-23.963494,GO11047_LC,KTWO200128909-C111,KTWO200147347-C112,,,51_Oph_C111halo_lc_o1.fits,51_Oph_C111halo_lc_o1.png,51_Oph_C111_weightmap_o1_sub1.png,51_Oph_C111_fluxmap_o1_sub1.png,51_Oph_C112halo_lc_o1.fits,51_Oph_C112halo_lc_o1.png,51_Oph_C112_weightmap_o1_sub1.png,51_Oph_C112_fluxmap_o1_sub1.png,51_Oph_C11_halo_o1_stitch.txt,Halo,
36 Oph,5.03,K2V+K1V,200129035,258.83327,-26.604429,GO11047_SC,KTWO200129035-C111,KTWO200147465-C112,KTWO200129035-C111,KTWO200147465-C112,36_Oph_C111halo_lc_o1.fits,36_Oph_C111halo_lc_o1.png,36_Oph_C111_weightmap_o1_sub1.png,36_Oph_C111_fluxmap_o1_sub1.png,36_Oph_C112halo_lc_o1.fits,36_Oph_C112halo_lc_o1.png,36_Oph_C112_weightmap_o1_sub1.png,36_Oph_C112_fluxmap_o1_sub1.png,36_Oph_C11_halo_o1_stitch.txt,Halo,
omi Oph,5.2,G8III + F6IV-V,200128910,259.502324,-24.286539,GO11047_LC,KTWO200128910-C111,KTWO200147348-C112,,,omi_Oph_C111halo_lc_o1.fits,omi_Oph_C111halo_lc_o1.png,omi_Oph_C111_weightmap_o1_sub1.png,omi_Oph_C111_fluxmap_o1_sub1.png,omi_Oph_C112halo_lc_o1.fits,omi_Oph_C112halo_lc_o1.png,omi_Oph_C112_weightmap_o1_sub1.png,omi_Oph_C112_fluxmap_o1_sub1.png,omi_Oph_C11_halo_o1_stitch.txt,Halo,
26 Oph,5.731,F3V,200129034,255.039748,-24.989128,GO11047_SC,KTWO200129034-C111,KTWO200147464-C112,KTWO200129034-C111,KTWO200147464-C112,26_Oph_C111halo_lc_o1.fits,26_Oph_C111halo_lc_o1.png,26_Oph_C111_weightmap_o1_sub1.png,26_Oph_C111_fluxmap_o1_sub1.png,26_Oph_C112halo_lc_o1.fits,26_Oph_C112halo_lc_o1.png,26_Oph_C112_weightmap_o1_sub1.png,26_Oph_C112_fluxmap_o1_sub1.png,26_Oph_C11_halo_o1_stitch.txt,Halo,
HR 6472,5.83,K0III,200128911,261.174968,-21.441283,GO11047_LC,KTWO200128911-C111,KTWO200147349-C112,,,HR_6472_C111halo_lc_o1.fits,HR_6472_C111halo_lc_o1.png,HR_6472_C111_weightmap_o1_sub1.png,HR_6472_C111_fluxmap_o1_sub1.png,HR_6472_C112halo_lc_o1.fits,HR_6472_C112halo_lc_o1.png,HR_6472_C112_weightmap_o1_sub1.png,HR_6472_C112_fluxmap_o1_sub1.png,HR_6472_C11_halo_o1_stitch.txt,Halo,
HR 6366,5.911,Fm,200128913,257.196761,-30.403635,GO11047_LC,KTWO200128913-C111,KTWO200147351-C112,,,HR_6366_C111halo_lc_o1.fits,HR_6366_C111halo_lc_o1.png,HR_6366_C111_weightmap_o1_sub1.png,HR_6366_C111_fluxmap_o1_sub1.png,HR_6366_C112halo_lc_o1.fits,HR_6366_C112halo_lc_o1.png,HR_6366_C112_weightmap_o1_sub1.png,HR_6366_C112_fluxmap_o1_sub1.png,HR_6366_C11_halo_o1_stitch.txt,Halo,
HR 6365,5.977,K0III,200128912,257.062511,-17.608806,GO11047_LC,KTWO200128912-C111,KTWO200147350-C112,,,HR_6365_C111halo_lc_o1.fits,HR_6365_C111halo_lc_o1.png,HR_6365_C111_weightmap_o1_sub1.png,HR_6365_C111_fluxmap_o1_sub1.png,HR_6365_C112halo_lc_o1.fits,HR_6365_C112halo_lc_o1.png,HR_6365_C112_weightmap_o1_sub1.png,HR_6365_C112_fluxmap_o1_sub1.png,HR_6365_C11_halo_o1_stitch.txt,Halo,
