Name,Vmag,Sp. Type,EPIC ID,RA (J2000) [deg],Dec (J2000) [deg],MASK,Investigation IDs,LC TPF,Project,Contact,Publication,Comments
Aldebaran,0.86,K5III,200173843,68.980934,16.509007,LC Halo,GO13047_LC,KTWO200173843-C13,Aldebaran,Farr/Pope,Farr et al 2018,\tablenotemark{c}
tet2 Tau,3.41,A7III,200173845,67.165927,15.87053,LC Halo,GO13023_LC|GO13025_LC|GO13039_LC|GO13047_LC|GO13077_LC|GO13122_LC,KTWO200173845-C13,Hyades dSct,,,
tet2 Tau,3.41,A7III,200173879,67.165992,15.870493,SC Halo,GO13023_SC|GO13025_SC|GO13039_SC|GO13047_SC|GO13077_SC|GO13122_SC,KTWO200173879-C13,Hyades dSct,,,
eps Tau,3.53,G9.5IIICN0.5,200173844,67.154639,19.179692,LC Halo,GO13023_LC|GO13039_LC|GO13047_LC|GO13077_LC|GO13083_LC|GO13085_LC,KTWO200173844-C13,Hyades giants,,,\tablenotemark{d}
tet1 Tau,3.84,G9IIIFe-0.5,200173846,67.14417,15.961688,LC Halo,GO13023_LC|GO13039_LC|GO13047_LC|GO13077_LC|GO13083_LC,KTWO200173846-C13,Hyades giants,,,
kap1 Tau,4.201,A7IV-V,200173847,66.342857,22.293035,LC Halo,GO13023_LC|GO13039_LC|GO13047_LC|GO13077_LC,KTWO200173847-C13,Hyades dSct,,,
kap1 Tau,4.201,A7IV-V,200173880,66.343004,22.292931,SC Halo,GO13023_SC|GO13039_SC|GO13047_SC|GO13077_SC,KTWO200173880-C13,Hyades dSct,,,
del3 Tau,4.25,A2IV-Vs,200173849,66.372261,17.926961,LC Halo,GO13023_LC|GO13036_LC|GO13039_LC|GO13047_LC|GO13077_LC,KTWO200173849-C13,Hyades dSct,,,"C4"
tau Tau,4.258,B3V,200173850,70.557694,22.954783,LC Halo,GO13047_LC|GO13122_LC|GO13127_LC,KTWO200173850-C13,,,,
ups Tau,4.282,A8Vn,200173848,66.577858,22.812849,LC Halo,GO13023_LC|GO13039_LC|GO13047_LC|GO13077_LC|GO13122_LC,KTWO200173848-C13,Hyades dSct,,,
ups Tau,4.282,A8Vn,200173881,66.577941,22.812731,SC Halo,GO13023_SC|GO13039_SC|GO13047_SC|GO13077_SC|GO13122_SC,KTWO200173881-C13,Hyades dSct,,,
rho Tau,4.65,A8V,200173851,68.456844,14.858859,LC Halo,GO13023_LC|GO13039_LC|GO13047_LC|GO13077_LC|GO13122_LC,KTWO200173851-C13,Hyades dSct,,,At CCD edge; practically unusable
rho Tau,4.65,A8V,200173882,68.45714,14.856193,SC Halo,GO13023_SC|GO13039_SC|GO13047_SC|GO13077_SC|GO13122_SC,KTWO200173882-C13,Hyades dSct,,,
11 Ori,4.661,A1VpSiCr,200173853,76.142365,15.403705,LC Halo,GO13047_LC|GO13122_LC,KTWO200173853-C13,,,,
HR 1427,4.764,A6IV,200173855,67.640376,16.193275,LC Halo,GO13006_LC|GO13023_LC|GO13025_LC|GO13039_LC|GO13047_LC|GO13077_LC|GO13122_LC,KTWO200173855-C13,Hyades dSct,,,
HR 1427,4.764,A6IV,200173883,67.640225,16.193224,SC Halo,GO13006_SC|GO13023_SC|GO13025_SC|GO13039_SC|GO13047_SC|GO13077_SC|GO13122_SC,KTWO200173883-C13,Hyades dSct,,,
HR 1427,4.764,A6IV,210548567,67.640136,16.194012,Regular,GO13047_LC|GO13122_LC|GO13023_LC|GO13006_LC|GO13025_LC|GO13077_LC|GO13039_LC,KTWO210548567-C13,Hyades dSct,,,
15 Ori,4.82,F2IV,200173854,77.42463,15.597631,LC Halo,GO13047_LC|GO13122_LC,KTWO200173854-C13,,,,
15 Ori,4.82,F2IV,246786764,77.424824,15.597234,Regular,GO13047_LC|GO13122_LC,KTWO246786764-C13,,,,
