Name,Vmag,Sp. Type,EPIC ID,RA (J2000) [deg],Dec (J2000) [deg],MASK,Investigation IDs,TPF,LC Halo Lightcurve,Lightcurve Image,Weight Image,Flux Image,Project,Contact,Publication,Comments
rho Leo,3.87,B1Iab,200182931,158.2027987,9.30658596,Halo,GO14001|GO14050,KTWO200182931-C14,,,,,rho Leo,Aerts/Moravveji,Aerts et al (2018),\tablenotemark{e}
58 Leo,4.838,K0.5IIIFe-0.5,200182925,165.140102,3.617234,Halo,GO14001|GO14003,KTWO200182925-C14,,,,,,,,
48 Leo,5.07,G8.5IIIFe-1,200182926,158.700527,6.953542,Halo,GO14001|GO14003|GO14052|GO14063,KTWO200182926-C14,,,,,,,,
53 Leo,5.312,A2V,200182928,162.314054,10.545122,Halo,GO14003|GO14021,KTWO200182928-C14,,,,,,,,
65 Leo,5.52,K0III,200182927,166.725448,1.955523,Halo,GO14001|GO14003|GO14004|GO14063|GO14068,KTWO200182927-C14,,,,,,,,
65 Leo,5.52,K0III,201594287,166.725865,1.955526,Regular,GO14003_LC|GO14068_LC|GO14063_LC|GO14001_LC|GO14004_LC,KTWO201594287-C14,,,,,,,,
35 Sex,5.79,K2II-III+K1II-III,200182929,160.836978,4.747282,Halo,GO14001|GO14003,KTWO200182929-C14,,,,,,,,
35 Sex,5.79,K2II-III+K1II-III,248557606,160.83717,4.747666,Regular,GO14003_LC|GO14001_LC,KTWO248557606-C14,,,,,,,,
43 Leo,6.08,K3III,200182930,155.751349,6.541923,Halo,GO14003|GO14063,KTWO200182930-C14,,,,,,,,
43 Leo,6.08,K3III,248626523,155.751868,6.542641,Regular,GO14003_LC|GO14063_LC,KTWO248626523-C14,,,,,,,,
HR 4085,6.31,K0/1III,248476320,156.054903,2.368017,Regular,GO14003_LC|GO14025_LC|GO14068_LC|GO14063_LC|GO14001_LC|GO14004_LC,KTWO248476320-C14,,,,,,,,
HR 4207,6.368,K1III:,248619763,161.523667,6.373182,Regular,GO14003_LC|GO14063_LC,KTWO248619763-C14,,,,,,,,
HD 90155,6.61,K0III,248477109,156.105291,2.393251,Regular,GO14003_LC,KTWO248477109-C14,,,,,,,,
31 Sex,6.972,K0III,248469579,157.629143,2.150204,Regular,GO14003_LC|GO14052_LC|GO14901_LC,KTWO248469579-C14,,,,,,,,
HD 90572,7.24,K0III,248513468,156.875874,3.563547,Regular,GO14003_LC|GO14001_LC,KTWO248513468-C14,,,,,,,,
HD 94515,7.39,K0,201826322,163.689879,5.84786,Regular,GO14003_LC|GO14044_LC|GO14004_LC,KTWO200182930-C14,,,,,,,,EB
HD 92706,7.52,K1III,248433514,160.590854,0.862139,Regular,GO14003_LC,KTWO248433514-C14,,,,,,,,
HD 93169,7.53,K0,248665823,161.390617,7.51428,Regular,GO14003_LC,KTWO248665823-C14,,,,,,,,
HD 94460,7.53,K0,248868430,163.572831,12.371138,Regular,GO14003_LC|GO14004_LC|GO14901_LC,KTWO248868430-C14,,,,,,,,
HD 94030,7.61,K2,248735958,162.829625,9.148831,Regular,GO14003_LC,KTWO248735958-C14,,,,,,,,
HD 96710,7.62,K0III,201674768,167.111194,3.222647,Regular,GO14003_LC|GO14001_LC,KTWO201674768-C14,,,,,,,,
HD 95004,7.62,K2,248759502,164.549435,9.701929,Regular,GO14003_LC|GO14901_LC,KTWO248759502-C14,,,,,,,,
HD 94318,7.72,K2,248895969,163.342718,13.118654,Regular,GO14003_LC|GO14901_LC,KTWO248895969-C14,,,,,,,,
HD 88802,7.81,K0,248595078,153.680908,5.749456,Regular,GO14003_LC,KTWO248595078-C14,,,,,,,,
HD 93101,7.84,K0III,248519509,161.30615,3.729992,Regular,GO14003_LC|GO14901_LC,KTWO248519509-C14,,,,,,,,
