Name,Vmag,Sp. Type,EPIC ID,RA (J2000) [deg],Dec (J2000) [deg],MASK,Investigation IDs,LC TPF – 9.1,LC TPF – 9.2,LC 9.1 Halo Lightcurve,LC 9.1 Lightcurve Image,LC 9.1 Weight Image,LC 9.1 Flux Image,LC 9.2 Halo Lightcurve,LC 9.2 Lightcurve Image,LC 9.2 Weight Image,LC 9.2 Flux Image,Stiched LC light curve,Project,Contact,Publication,Comments
HR 6766,4.56,G7:IIIbCN-1CH-3.5HK+1,200069361,272.021137,-28.457424,Halo,GO9923_LC,,,,,,,,,,,,,,,
HR 6842,4.627,K3II,200069360,274.513094,-27.04213,Halo,GO9923_LC,,,,,,,,,,,,,,,
4 Sgr,4.724,A0,200069357,269.947601,-23.815818,Halo,GO9923_LC,,,,,,,,,,,,,,,
11 Sgr,4.98,K0III,200069358,272.931094,-23.701391,Halo,GO9923_LC,,,,,,,,,,,,,,,
7 Sgr,5.34,F2II-III,200069362,270.713151,-24.282028,Halo,GO9923_LC,,,,,,,,,,,,,,,
15 Sgr,5.37,O9.7Iab,200069359,273.80418,-20.728554,Halo,GO9923_LC,,,,,,,,,,,,,,,
HR 6838,5.75,K2III,200069363,274.298269,-17.37435,Halo,GO9923_LC,,,,,,,,,,,,,,,
Y Sgr,5.75,F8II,200069364,275.34515,-18.859826,Halo,GO9923_LC,,,,,,,,,,,,,,,
HR 6716,5.77,B0Iab/b,200069365,270.476773,-22.780204,Halo,GO9923_LC,,,,,,,,,,,,,,,
HR 6681,5.929,A0V,200069366,269.079263,-15.812584,Halo,GO9923_LC,,,,,,,,,,,,,,,
9 Sgr,5.97,O4V((f))z,200069368,270.968745,-24.361063,Halo,GO9923_LC,,,,,,,,,,,,,,,
16 Sgr,6.02,O9.5III,200069367,273.803883,-20.388154,Halo,GO9923_LC,,,,,,,,,,,,,,,
HR 6825,6.15,ApSi,200069369,273.877872,-18.661964,Halo,GO9923_LC,,,,,,,,,,,,,,,
63 Oph,6.20,O8II((f)),200069370,268.725668,-24.886798,Halo,GO9923_LC,,,,,,,,,,,,,,,
HR 6679,6.469,A1V,200069373,268.97931,-18.801918,Halo,GO9923_LC,,,,,,,,,,,,,,,
HD 165784,6.58,A2Iab,200069371,272.161183,-21.44927,Halo,GO9923_LC,,,,,,,,,,,,,,,
HD 161083,6.58,F0V,200069374,266.100216,-22.194983,Halo,GO9923_LC,,,,,,,,,,,,,,,
12 Sgr,6.59,F7/8Ib/II,225102663,273.260399,-23.117282,Regular,GO9923_LC,,,,,,,,,,,,,,,Cepheid
5 Sgr,6.64,K0III,200069372,270.048298,-24.284432,Halo,GO9923_LC,,,,,,,,,,,,,,,
HD 167576,6.66,K1III,200069378,274.239359,-27.716096,Halo,GO9923_LC,,,,,,,,,,,,,,,
HR 6773,6.71,B3/5IV,200069380,272.225749,-25.473139,Halo,GO9923_LC,,,,,,,,,,,,,,,
HR 6727,6.718,B0Ib/II,225330052,270.757135,-22.718491,Regular,GO9923_LC,,,,,,,,,,,,,,,
HD 164581,6.786,B2/3II,226361653,270.655498,-20.737627,Regular,GO9923_LC,,,,,,,,,,,,,,,
HD 163296,6.85,A1Vep,200071159,269.088907,-21.956371,Halo,GO9923_SC,,,,,,,,,,,,,,,
HR 6848,6.86,B0Ia/ab,227249894,274.680252,-18.619671,Regular,GO9923_LC,,,,,,,,,,,,,,,
HD 165052,6.87,O5.5:Vz+O8:V,200069379,271.293504,-24.398154,Halo,GO9923_LC,,,,,,,,,,,,,,,
17 Sgr,6.886,G8/K0III,200069375,274.147867,-20.544369,Halo,GO9923_LC,,,,,,,,,,,,,,,
HD 162719,6.89,A3III/IV,222583990,268.392594,-27.282646,Regular,GO9923_LC,,,,,,,,,,,,,,,
HD 168525,6.90,A6V,223370117,275.301699,-26.085116,Regular,GO9923_LC,,,,,,,,,,,,,,,
HD 169966,6.97,G8/K0III,200069376,277.029565,-22.999934,Halo,GO9923_LC,,,,,,,,,,,,,,,
HD 162030,7.02,K1III,200069377,267.489563,-24.207101,Halo,GO9923_LC,,,,,,,,,,,,,,,
HD 168355,7.24,K1III,222498720,275.088153,-27.407709,Regular,GO9923_LC,,,,,,,,,,,,,,,
HD 167976,7.39,K2/3III,227307730,274.594612,-18.475641,Regular,GO9923_LC,,,,,,,,,,,,,,,
