epic, Kp, cdpp_sap, cdpp_pdc, cdpp_k2sc_pdc, cdpp_halo, cdpp_k2sc_halo, enclosed_weight
212723006, 11.225000, 1217.972326, 170.616752, 31.382995, 41.079000, 26.374700, 0.525505
212326285, 11.315000, 3169.747028, 85.878987, 49.017928, 55.785629, 53.045820, 0.211309
212544779, 11.487000, 354.557073, 138.903304, 48.291537, 67.136216, 53.120446, 0.208343
212488872, 11.659000, 1180.614856, 264.377438, 253.889875, 257.107089, 255.121333, 0.225422
212762367, 11.515000, 1036.764838, 81.011488, 22.015282, 89.989388, 32.990177, 0.137078
212278489, 11.335000, 2056.232910, 470.890530, 181.673816, 202.477983, 178.809253, 0.223131
212462271, 11.702000, 1686.130855, 103.603398, 85.607647, 117.963928, 92.709789, 0.162735
212603370, 11.571000, 436.994647, 376.620639, 374.974964, 373.215152, 370.701315, 0.274531
212381432, 11.594000, 633.109919, 420.626067, 372.945307, 382.517883, 375.429339, 0.123114
212369028, 11.033000, 2641.717579, 700.989197, 485.531595, 572.499611, 524.221051, 0.232915
212702302, 11.406000, 248.643147, 139.573769, 117.684683, 133.559769, 116.953757, 0.233743
212551566, 11.949000, 994.920558, 33.927063, 26.685417, 36.035410, 34.908317, 0.205704
212334094, 11.672000, 1757.227060, 512.075583, 128.072646, 152.016435, 140.553309, 0.165386
212697914, 11.438000, 567.454344, 107.475162, 106.066575, 112.104823, 108.500094, 0.232501
212820140, 11.355000, 2302.003206, 197.760314, 93.474361, 174.071960, 127.876047, 0.150970
212675885, 11.211000, 508.934054, 68.509085, 31.054697, 29.066786, 21.759774, 0.885784
212315655, 11.108000, 148.655292, 57.150438, 31.701035, 44.834081, 41.966938, 0.523582
212571213, 11.751000, 677.349991, 48.373612, 47.052762, 46.219199, 54.875477, 0.197209
212353943, 11.270000, 2543.916036, 50.946810, 31.668279, 50.812056, 46.708109, 0.168643
212516183, 11.572000, 2327.681395, 51.998888, 27.482963, 34.595045, 33.596454, 0.147662
212343931, 11.969000, 2845.643046, 62.171928, 27.281162, 56.979670, 44.790770, 0.130322
212443290, 11.919000, 4199.986777, 536.903247, 97.925849, 160.850630, 139.080144, 0.202027
212438910, 11.830000, 18917.024132, 610.522796, 212.535320, 32.107350, 29.591624, 0.104741
212837890, 11.751000, 4399.581992, 150.494757, 46.824569, 75.699441, 63.383608, 0.164639
212442296, 11.060000, 7073.140935, 7072.902854, 235.806522, 265.142383, 258.341360, 0.246662
212466719, 11.487000, 1336.260926, 224.960795, 223.256724, 226.304152, 222.433728, 0.170701
212404667, 11.779000, 5305.342942, 61.422624, 36.334709, 61.425031, 49.636675, 0.187640
212657393, 11.370000, 1672.633411, 111.986015, 28.619394, 72.092424, 40.052710, 0.125130
212640142, 11.640000, 1960.839194, 72.889144, 25.872398, 46.740710, 39.990619, 0.186395
212582875, 11.204000, 531.171871, 531.066568, 109.381746, 136.632357, 140.456414, 0.511882
212313595, 11.744000, 1909.331300, 264.210640, 82.251983, 153.373292, 80.995101, 0.186814
212462012, 11.918000, 2567.750824, 140.926746, 42.173202, 54.270966, 28.277685, 0.121814
212706166, 11.896000, 2986.065870, 135.867052, 38.603953, 50.735941, 47.586330, 0.108877
212645407, 11.780000, 2135.168889, 113.033922, 72.245176, 88.754422, 78.364425, 0.134482
212673860, 11.925000, 1766.086079, 72.573478, 35.562793, 52.455381, 41.388758, 0.126447
212365854, 11.627000, 7636.601230, 68.803788, 31.849382, 44.104819, 44.080243, 0.178735
212299715, 11.289000, 5105.624770, 117.411972, 38.883568, 59.269605, 36.864198, 0.137244
212332014, 11.827000, 4473.922679, 144.364685, 78.624113, 100.184129, 89.241202, 0.223231
212695988, 11.639000, 1822.431995, 72.965407, 54.507471, 85.118141, 57.356520, 0.132868
212308862, 11.961000, 2202.025728, 75.457280, 29.328669, 58.811463, 39.692759, 0.148017
212627232, 11.895000, 2414.548469, 136.489464, 121.514529, 143.852034, 132.768804, 0.134389
212824874, 11.251000, 1549.014073, 215.499491, 200.635624, 212.740231, 199.675286, 0.208706
212681560, 11.906000, 2801.652385, 409.525202, 73.928542, 156.522659, 87.430482, 0.150730
212423234, 11.030000, 2328.827137, 126.679999, 38.226402, 72.211076, 36.767453, 0.188156
212632901, 11.995000, 5982.332453, 203.270192, 88.808525, 147.300438, 94.988735, 0.168455
212535624, 11.417000, 1409.788232, 65.926460, 40.082741, 63.931204, 45.876145, 0.126483
212359265, 11.317000, 6322.987568, 70.954962, 44.194935, 61.268428, 60.925615, 0.147644
212809497, 11.392000, 1772.326674, 416.941401, 255.896640, 232.703108, 251.558679, 0.180374
212386208, 11.311000, 764.511655, 128.384253, 36.037522, 35.358715, 34.357519, 0.123065
212779596, 11.930000, 2925.224769, 407.617220, 109.980887, 157.116260, 111.548783, 0.201014
212439916, 11.624000, 8176.959120, 403.253646, 110.528238, 44.729653, 37.914574, 0.223734
212492446, 11.146000, 315.015833, 333.951979, 207.265749, 177.649322, 175.478956, 0.274057
212280974, 11.953000, 15889.105843, 23562.282289, 4834.019860, 3117.542532, 2224.425589, 0.025782
212446910, 11.751000, 736.369913, 731.437073, 476.227847, 397.409347, 393.623584, 0.233853
212690019, 11.744000, 3164.455501, 87.378095, 33.428829, 79.647178, 46.963807, 0.183196
212395111, 11.836000, 679.695890, 81.607244, 70.578664, 89.362064, 81.909104, 0.152074
212804595, 11.660000, 3770.000332, 125.083468, 61.691069, 149.192860, 81.006055, 0.168628
212806111, 11.257000, 1812.253143, 86.270120, 33.487346, 123.946389, 45.623012, 0.152018
212542010, 11.088000, 1311.541006, 170.392016, 150.479594, 148.748974, 148.351333, 0.155926
212532272, 11.148000, 44.605082, 35.001453, 34.466816, 32.703143, 32.876494, 0.826234
212319201, 11.006000, 585.251610, 446.061782, 438.864202, 443.794283, 448.404157, 0.536957
212657994, 11.016000, 3873.853428, 124.461621, 34.874822, 98.514793, 43.338169, 0.184983
212697686, 11.656000, 2670.394342, 200.530243, 33.516084, 1595.186478, 516.679238, 0.569307
212635813, 11.599000, 7099.626980, 187.804214, 62.480103, 47.615642, 42.078495, 0.166018
212325502, 11.022000, 370.580783, 112.788031, 39.662786, 48.884419, 35.193962, 0.547542
212800547, 11.295000, 1655.574138, 481.991156, 239.480844, 234.801026, 243.101024, 0.194005
212350079, 11.143000, 3978.692768, 74.500305, 27.707295, 41.168969, 40.894149, 0.159860
212438627, 11.420000, 2176.814039, 144.560555, 78.171235, 99.869920, 87.162698, 0.165542
212526711, 11.866000, 374.752777, 98.320684, 68.934670, 61.875581, 55.728436, 0.275008
212809083, 11.274000, 2183.828933, 439.308340, 418.176881, 457.104336, 411.468051, 0.189222
212698110, 11.411000, 681.442750, 354.840857, 323.158575, 342.753383, 345.948164, 0.519447
212798553, 11.338000, 2105.108269, 288.573872, 273.478282, 268.625528, 266.109570, 0.141580
212680567, 11.283000, 1057.759182, 221.551120, 42.286767, 44.329565, 31.228925, 0.516817
212689423, 11.296000, 2236.352041, 88.006221, 31.570151, 51.228227, 29.347835, 0.137234
212745591, 11.153000, 1551.927091, 686.435884, 665.785626, 652.317012, 679.088043, 0.192621
212490238, 11.084000, 618.483210, 270.221208, 40.461904, 79.022052, 50.313889, 0.167956
212412383, 11.285000, 1647.146642, 75.797395, 42.028877, 57.828001, 37.393650, 0.133247
212449752, 11.655000, 2058.464388, 283.003684, 268.109360, 275.852734, 264.796529, 0.201607
212438743, 11.061000, 759.406970, 211.440100, 30.115534, 62.637831, 38.019281, 0.534218
212734734, 11.686000, 508.806525, 30.741866, 21.600380, 35.994702, 32.157455, 0.118171
212536262, 11.188000, 590.201662, 589.374317, 401.429014, 400.923223, 404.876485, 0.881596
212344155, 11.447000, 4143.260058, 62.945145, 24.384786, 43.903134, 29.551747, 0.148479
212293041, 11.450000, 5134.668104, 309.435942, 93.799976, 93.701055, 79.057970, 0.153693
212521166, 11.590000, 72.354980, 59.937105, 25.722344, 30.321654, 24.329003, 0.638536
212447408, 11.297000, 824.345288, 55.958331, 22.759554, 48.035879, 27.881881, 0.555789
212760038, 11.199000, 5549.790577, 4213.333851, 4151.335946, 4373.189527, 4166.823362, 0.183914
212293832, 11.938000, 2481.297503, 90.383448, 38.806255, 57.819864, 51.066745, 0.167825
212590172, 11.829000, 224.541091, 87.095895, 60.911669, 48.117194, 48.158913, 0.449425
212540498, 11.555000, 527.592878, 48.771864, 46.040407, 56.400835, 50.652829, 0.263340
212767362, 11.430000, 2729.998681, 150.095481, 116.544364, 142.724680, 126.132816, 0.149444
212420255, 11.714000, 1050.559638, 607.335627, 75.222323, 138.607655, 90.464559, 0.158430
212627100, 11.708000, 1127.902332, 376.764549, 369.524462, 377.856958, 354.874433, 0.184233
212457737, 11.896000, 6158.839566, 858.876717, 854.726840, 863.922072, 870.655978, 0.168920
212311710, 11.403000, 2019.821216, 363.441526, 55.790853, 75.900330, 70.743151, 0.183736
212478919, 11.874000, 2538.373830, 2161.601896, 170.748018, 149.781126, 100.146672, 0.225502
212558626, 11.723000, 1040.937430, 222.603370, 216.690346, 222.403442, 219.880777, 0.207613
212632985, 11.958000, 1806.099946, 1345.264631, 1311.095121, 1318.096510, 1344.184948, 0.223904
212303551, 11.774000, 16992.239309, 278.551879, 54.357212, 58.191731, 49.695059, 0.160363
212832921, 11.449000, 2423.674167, 926.865970, 62.886523, 125.634688, 89.517164, 0.170299
212308208, 11.218000, 6358.466310, 69.581343, 30.466298, 43.642939, 43.277374, 0.212057
212455708, 11.830000, 995.417356, 77.278516, 36.493739, 83.723642, 63.992172, 0.228771
212525473, 11.923000, 3217.814721, 252.060625, 239.572327, 299.142261, 268.696614, 0.317506
212597898, 11.006000, 164.925898, 156.982001, 141.634561, 143.557949, 142.682251, 0.254537
212447087, 11.745000, 6679.985007, 145.517778, 124.024958, 131.989039, 126.860566, 0.177189
212819163, 11.948000, 1819.064223, 86.892995, 49.891261, 100.616078, 84.704429, 0.150816
212712767, 11.537000, 2609.740517, 111.332809, 68.912966, 90.120752, 72.558553, 0.190685
212325298, 11.604000, 4633.151363, 76.760466, 34.969635, 50.293140, 38.610152, 0.147202
212613949, 11.426000, 755.469099, 301.765229, 308.730564, 307.704919, 305.568889, 0.884873
212410992, 11.327000, 490.100406, 425.820317, 418.721989, 456.196919, 453.278651, 0.884667
212622925, 11.343000, 3462.336363, 57.377760, 30.512353, 36.736318, 36.903466, 0.190613
212543144, 11.704000, 927.773688, 36.402103, 23.968032, 42.210223, 36.471460, 0.107709
212778228, 11.605000, 1366.739282, 204.792673, 64.082265, 131.335561, 66.459122, 0.133789
212628015, 11.787000, 4184.550504, 111.281514, 48.584385, 94.620660, 56.677152, 0.134548
212598503, 11.357000, 829.411293, 234.316865, 230.699878, 243.290633, 235.229049, 0.143466
212271980, 11.264000, 5026.055740, 99.695316, 33.756844, 70.763858, 42.749639, 0.159313
212804611, 11.252000, 1679.220625, 100.416113, 24.512684, 75.380154, 33.087673, 0.165723
212606187, 11.756000, 1796.869963, 52.298522, 32.118234, 53.611279, 53.336850, 0.125417
212518979, 11.763000, 1325.336316, 674.270685, 104.134640, 178.582940, 112.650929, 0.131773
212609818, 11.960000, 3288.880478, 58.097688, 34.014961, 60.460784, 43.593307, 0.167558
212741166, 11.596000, 482.204920, 51.587250, 32.090914, 38.152247, 38.098116, 0.118151
